#username,#exact,#allow_with_approval
PresidentTrump,true,false
JDVance,true,false
MelaniaTrump,true,false
BarronTrump,true,false
TiffanyTrump,true,false
DonaldTrumpJr,true,false
EricTrump,true,false
IvankaTrump,true,false
JaredKushner,true,false
KamalaHarris,true,false
JoeBiden,true,false
BarackObama,true,false
MichelleObama,true,false
TimWalz,true,false
ChuckSchumer,true,false
NancyPelosi,true,false
SashaObama,true,false
MaliaObama,true,false
HillaryClinton,true,false
BillClinton,true,false
ChelseaClinton,true,false
WilliamClinton,true,false
JamesTalarico,true,false
JasmineCrockett,true,false
GeorgiaBush,true,false
TimKaine,true,false
NancyPelosi,true,false
BernieSanders,true,false
ElizabethWarrren,true,false
AlexandriaOcasioCortez,true,false
AOC,true,false
GavinNewson,true,false
ZohranMamdani,true,false
PeteButtigieg,true,false
GeorgeBush,true,false
TimWalz,true,false
AlGore,true,false
MarkKelly,true,false
CharlieKirk,true,false
StaceyAbrams,true,false
RaphaelWarnock,true,false
JonOssoff,true,false
RFK,true,false
RFKJr,true,false
RobertFKennedy,true,false
RobertFKennedyJr,true,false
CoryBooker,true,false
BetoORourke,true,false
IlhanOmar,true,false
TedCruz,true,false
KashPatel,true,false
RonDesantis,true,false
PeteHegseth,true,false
JoshShapiro,true,false
BrianKemp,true,false
MarcoRubio,true,false
KristiNoem,true,false
AmyKlobuchar,true,false
HenryKissinger,true,false
HakeemJeffries,true,false
GretchenWhitmer,true,false
AdamKinzinger,true,false
AdamSchiff,true,false
LizCheney,true,false
AndyBeshear,true,false
JohnFetterman,true,false
TulsiGabbard,true,false
AlGreen,true,false
RandPaul,true,false
AndrewYang,true,false
GregAbbott,true,false
MittRomney,true,false
MarjorieTaylorGreene,true,false
MitchMcConnell,true,false
MLK,true,false
MartinLutherKingJr,true,false
MLK,true,false
MLKJr,true,false
LaurenBoebert,true,false
LindseyGraham,true,false
PamBondi,true,false
SeanDuffy,true,false
DougCollins,true,false
KellyLoeffler,true,false
MarkwayneMullin,true,false
MattGaetz,true,false
VivekRamaswamy,true,false
SarahPalin,true,false
KevinMcCarthy,true,false
NikkiHaley,true,false
ChrisChristie,true,false
KathyHochul,true,false
DouglasEmhoff,true,false
KariLake,true,false
JimClyburn,true,false
JimJordan,true,false
SarahHuckabee,true,false
KatieHobbs,true,false
JBPrizker,true,false
WesMoore,true,false
JohnMcCain,true,false
JackSchlossberg,true,false
PrinceAndrew,true,false
MeganMarkle,true,false
PrinceHarry,true,false
PrinceWilliam,true,false
